id,Start_X,Start_Y,End_X,End_Y
,-114.635,53.799,-114.660,53.800
,-114.660,53.800,-114.660,53.829
,-114.688,53.829,-114.709,53.825
,-114.709,53.825,-114.711,53.842
,-114.711,53.842,-114.687,53.844
,-114.687,53.844,-114.688,53.829
,-114.774,53.796,-114.764,53.796
,-114.764,53.796,-114.765,53.785
,-114.765,53.785,-114.774,53.786
,-114.774,53.786,-114.774,53.796
,-114.841,53.809,-114.822,53.809
,-114.822,53.809,-114.820,53.766
,-114.820,53.766,-114.834,53.764
,-114.834,53.764,-114.844,53.783
,-114.844,53.783,-114.841,53.809
,-115.065,53.544,-115.018,53.555
,-115.018,53.555,-114.953,53.558
,-114.953,53.558,-114.950,53.530
,-114.950,53.530,-114.974,53.507
,-114.974,53.507,-115.025,53.483
,-115.025,53.483,-115.042,53.482
,-115.042,53.482,-115.073,53.497
,-115.073,53.497,-115.073,53.518
,-115.073,53.518,-115.065,53.544
,-115.252,53.678,-115.220,53.677
,-115.220,53.677,-115.238,53.645
,-115.238,53.645,-115.266,53.655
,-115.266,53.655,-115.252,53.678
,-114.816,53.950,-114.795,53.950
,-114.795,53.950,-114.802,53.935
,-114.802,53.935,-114.815,53.935
,-114.815,53.935,-114.816,53.950
,-114.985,54.157,-114.934,54.158
,-114.934,54.158,-114.934,54.137
,-114.934,54.137,-114.985,54.135
,-114.985,54.135,-114.985,54.157
,-115.296,54.132,-115.280,54.132
,-115.280,54.132,-115.280,54.096
,-115.280,54.096,-115.295,54.094
,-115.295,54.094,-115.303,54.102
,-115.303,54.102,-115.304,54.117
,-115.304,54.117,-115.296,54.132
,-116.035,54.152,-116.011,54.151
,-116.011,54.151,-115.998,54.132
,-115.998,54.132,-115.997,54.113
,-115.997,54.113,-116.016,54.096
,-116.016,54.096,-116.041,54.095
,-116.041,54.095,-116.070,54.135
,-116.070,54.135,-116.035,54.152
,-116.718,54.424,-116.691,54.421
,-116.691,54.421,-116.686,54.384
,-116.686,54.384,-116.736,54.403
,-116.736,54.403,-116.718,54.424
,-118.107,53.960,-118.056,53.958
,-118.056,53.958,-118.058,53.907
,-118.058,53.907,-118.087,53.923
,-118.087,53.923,-118.097,53.905
,-118.097,53.905,-118.128,53.904
,-118.128,53.904,-118.107,53.960
,-117.520,52.914,-117.502,52.914
,-117.502,52.914,-117.505,52.884
,-117.505,52.884,-117.526,52.878
,-117.526,52.878,-117.534,52.889
,-117.534,52.889,-117.520,52.914
,-115.913,51.103,-115.893,51.079
