id,Start_X,Start_Y,End_X,End_Y
,-115.788,50.557,-115.789,50.532
,-115.789,50.532,-115.793,50.521
,-115.793,50.521,-115.776,50.492
,-115.776,50.492,-115.762,50.500
,-115.762,50.500,-115.773,50.521
,-115.773,50.521,-115.756,50.528
,-115.756,50.528,-115.747,50.537
,-115.747,50.537,-115.724,50.539
,-115.724,50.539,-115.686,50.551
,-115.686,50.551,-115.676,50.538
,-115.676,50.538,-115.658,50.549
,-115.658,50.549,-115.633,50.498
,-115.633,50.498,-115.600,50.442
,-115.600,50.442,-115.593,50.425
,-115.593,50.425,-115.574,50.405
,-115.574,50.405,-115.560,50.405
,-115.560,50.405,-115.551,50.387
,-115.551,50.387,-115.553,50.363
,-115.553,50.363,-115.523,50.344
,-115.523,50.344,-115.518,50.328
,-115.518,50.328,-115.494,50.320
,-115.494,50.320,-115.509,50.302
,-115.509,50.302,-115.509,50.287
,-115.509,50.287,-115.499,50.278
,-115.499,50.278,-115.500,50.261
,-115.500,50.261,-115.481,50.254
,-115.481,50.254,-115.493,50.231
,-115.493,50.231,-115.494,50.206
,-115.494,50.206,-115.481,50.196
,-115.481,50.196,-115.466,50.158
,-115.466,50.158,-115.475,50.077
,-115.475,50.077,-115.426,50.018
,-115.426,50.018,-115.417,49.947
,-115.417,49.947,-115.431,49.936
,-115.431,49.936,-115.436,49.855
,-115.436,49.855,-115.412,49.802
,-115.412,49.802,-115.405,49.780
,-115.405,49.780,-115.403,49.744
,-115.403,49.744,-115.415,49.726
,-115.415,49.726,-115.405,49.694
,-115.405,49.694,-115.432,49.659
,-115.432,49.659,-115.420,49.608
,-115.420,49.608,-115.476,49.575
,-115.476,49.575,-115.480,49.541
,-115.480,49.541,-115.447,49.512
,-115.447,49.512,-115.422,49.512
,-115.422,49.512,-115.410,49.499
,-115.410,49.499,-115.397,49.515
,-115.397,49.515,-115.379,49.523
,-115.379,49.523,-115.360,49.512
,-115.360,49.512,-115.363,49.473
,-115.363,49.473,-115.380,49.404
,-115.380,49.404,-115.378,49.372
,-115.378,49.372,-115.361,49.352
,-115.361,49.352,-115.362,49.339
,-115.362,49.339,-115.340,49.340
,-115.340,49.340,-115.331,49.320
,-115.331,49.320,-115.311,49.318
,-115.311,49.318,-115.300,49.294
,-115.300,49.294,-115.309,49.286
,-115.309,49.286,-115.302,49.268
,-115.302,49.268,-115.278,49.250
,-115.278,49.250,-115.279,49.232
,-115.279,49.232,-115.244,49.215
,-115.244,49.215,-115.250,49.197
,-115.250,49.197,-115.245,49.182
,-115.245,49.182,-115.250,49.173
,-115.250,49.173,-115.219,49.156
,-115.219,49.156,-115.206,49.160
,-115.206,49.160,-115.177,49.154
,-115.177,49.154,-115.169,49.143
,-115.169,49.143,-115.144,49.140
,-115.144,49.140,-115.137,49.148
,-115.137,49.148,-115.106,49.136
,-115.106,49.136,-115.078,49.108
,-115.078,49.108,-115.095,49.098
,-115.095,49.098,-115.065,49.040
,-115.065,49.040,-115.039,49.032
,-115.039,49.032,-115.036,49.016
,-115.036,49.016,-115.020,48.987
,-115.020,48.987,-115.027,48.976
,-115.027,48.976,-115.024,48.961
,-118.550,54.854,-118.618,53.893
,-118.550,54.854,-117.183,54.778
,-117.183,54.778,-117.184,54.662
,-117.184,54.662,-117.198,54.032
,-117.994,53.254,-117.198,54.032
,-118.444,56.324,-118.550,54.854
,,,,
,-117.184,54.662,-116.551,54.631
,,,,
,,,,
,-116.541,55.128,-115.326,55.137
,-115.335,55.457,-115.326,55.137
,-116.551,54.631,-116.363,54.476
,-117.198,54.032,-116.375,54.008
,-116.363,54.476,-116.375,54.008
,-116.375,54.008,-115.899,53.996
,-115.899,53.996,-115.326,54.502
,-115.326,55.137,-115.326,54.502
,-115.402,60.020,-113.127,60.122
,-113.127,60.122,-112.784,55.518
,-112.784,55.518,-113.267,55.482
,-113.267,55.482,-113.248,55.039
,-113.655,55.460,-113.267,55.482
,-113.655,55.460,-113.828,55.159
,-115.326,55.137,-113.828,55.159
,-114.708,54.145,-114.106,54.158
,-114.106,54.158,-113.939,54.163
,-113.939,54.163,-113.850,54.227
,-114.106,54.158,-113.248,55.039
,-115.326,54.502,-114.975,54.065
,-114.975,54.065,-114.968,53.881
,-114.968,53.881,-114.706,53.887
,-114.706,53.887,-114.708,54.145
,-114.706,53.887,-114.373,53.387
,-114.373,53.387,-114.080,53.396
,-114.106,54.158,-114.080,53.396
,-114.373,53.387,-114.457,53.205
,-114.788,53.200,-114.457,53.205
,-114.788,53.200,-114.887,53.270
,-114.887,53.270,-114.961,53.267
,-114.961,53.267,-114.968,53.881
,-115.179,53.254,-114.961,53.267
,-115.563,53.445,-115.179,53.254
,-115.906,53.449,-115.563,53.445
,-115.906,53.449,-115.899,53.996
,-115.906,53.449,-116.983,52.572
,-117.659,52.587,-116.983,52.572
,-116.983,52.572,-115.907,52.556
,-115.907,52.556,-115.890,51.461
,-115.907,52.556,-115.292,52.559
,-115.292,52.559,-115.208,52.651
,-115.208,52.651,-115.160,52.653
,-115.292,52.559,-115.289,52.082
,-115.289,52.082,-114.811,52.085
,-114.811,52.085,-114.537,52.181
,-115.160,52.653,-114.545,52.667
,-114.545,52.667,-114.542,52.430
,-114.542,52.430,-114.537,52.181
,-115.179,53.254,-115.160,52.653
,-114.545,52.667,-114.053,52.679
,-114.080,53.396,-114.053,52.679
,-116.509,51.466,-115.890,51.461
,-115.890,51.461,-115.456,51.465
,-115.456,51.465,-115.282,51.769
,-115.456,51.465,-115.274,51.466
,-115.274,51.466,-115.273,51.246
,-115.273,51.246,-115.274,50.976
,-115.405,50.866,-115.274,50.976
,-115.405,50.866,-115.405,50.742
,-115.600,50.442,-115.405,50.742
,-115.600,50.442,-114.775,50.051
,-114.780,50.462,-114.775,50.051
,-115.405,50.742,-114.965,50.750
,-114.965,50.750,-114.784,50.634
,-114.784,50.634,-114.780,50.462
,-114.965,50.750,-114.775,50.926
,-114.780,51.250,-114.775,50.926
,-115.273,51.246,-114.780,51.250
,-115.274,51.466,-114.787,51.472
,-114.787,51.472,-114.780,51.250
,-114.780,51.250,-114.142,51.263
,-114.811,52.085,-114.787,51.472
,-115.289,52.082,-115.282,51.769
,-114.142,51.263,-114.065,51.008
,-114.065,51.008,-113.318,51.036
,-113.318,51.036,-113.108,51.229
,-113.108,51.229,-113.347,51.516
,-114.146,51.476,-114.142,51.263
,-114.146,51.476,-113.347,51.516
,-113.108,51.229,-112.488,51.267
,-112.565,52.400,-112.488,51.267
,-113.483,52.350,-112.565,52.400
,-114.236,52.320,-113.483,52.350
,-113.492,52.523,-113.483,52.350
,-113.492,52.523,-113.281,52.533
,-114.542,52.430,-114.342,52.433
,-114.342,52.433,-114.236,52.320
,-114.053,52.679,-113.790,52.688
,-113.790,52.688,-113.503,52.696
,-113.503,52.696,-113.492,52.523
,-113.805,53.211,-113.790,52.688
,-113.805,53.211,-113.314,53.237
,-113.314,53.237,-113.073,53.249
,-113.073,53.249,-112.938,53.040
,-113.281,52.533,-112.934,52.891
,-112.934,52.891,-112.600,52.901
,-112.600,52.901,-112.565,52.400
,-112.938,53.040,-112.611,53.059
,-112.611,53.059,-112.600,52.901
,-113.346,53.851,-113.314,53.237
,-113.346,53.851,-112.669,53.892
,-112.669,53.892,-112.611,53.059
,-113.850,54.227,-113.371,54.250
,-113.371,54.250,-113.346,53.851
,-112.784,55.518,-112.669,53.892
,-112.488,51.267,-112.434,50.440
,-112.434,50.440,-112.337,49.066
,-112.337,49.066,-113.218,49.016
,-115.024,48.961,-113.218,49.016
,-113.241,49.378,-113.218,49.016
,-113.831,49.522,-113.241,49.378
,-113.844,49.871,-113.831,49.522
,-114.410,49.506,-113.831,49.522
,-114.410,49.506,-114.410,49.419
,-115.380,49.404,-114.410,49.419
,-114.414,49.884,-114.410,49.506
,-114.533,49.939,-114.414,49.884
,-114.533,49.939,-114.100,49.956
,-114.100,49.956,-113.910,49.964
,-113.910,49.964,-113.844,49.871
,-114.775,50.051,-114.533,49.939
,-114.106,50.353,-114.100,49.956
,-114.263,50.470,-114.106,50.353
,-114.780,50.462,-114.263,50.470
,-114.106,50.353,-113.287,50.395
,-113.287,50.395,-113.241,49.378
,-113.287,50.395,-112.434,50.440
,-114.065,51.008,-114.263,50.470
,-113.318,51.036,-113.287,50.395
,-118.444,56.324,-117.161,55.801
,-117.161,55.801,-116.532,55.551
,-116.532,55.551,-116.541,55.128
,-116.541,55.128,-116.551,54.631
,-117.161,55.801,-117.183,54.778
,-117.648,52.474,-117.634,52.433
